art_style,painting,utterance
Impressionism,paul-cezanne_factories-near-mont-de-cengle,A factory and its corresponding town lies in the mountainsl.
Realism,george-catlin_h-tchoo-t-c-knee-snapping-turtle-a-half-breed-1834,"A native man in a blue jacket with feathers in his hair is seated, hands on thighs."
Mannerism_Late_Renaissance,paolo-veronese_portrait-of-a-lady,Portrait of a woman in a brown dress wearing pearls.
High_Renaissance,lorenzo-lotto_bust-of-a-bearded-man-1541,"A man with a red beard, black hat, black shirt, and golden colored necklace is glancing towards his left."
Impressionism,stefan-popescu_inessential-store,Winter scenes with snow covering  houses and bare trees.
Early_Renaissance,pisanello_apparition-of-the-virgin-to-sts-anthony-abbot-and-george,the virgin mary and jesus in the clouds with on lookers
Expressionism,zinaida-serebriakova_statue-of-a-faun-in-the-garden-of-the-yusupov-in-st-petersburg-1923,A statue of a man standing next to a group of trees.
Ukiyo_e,katsushika-hokusai_a-woman-makes-a-cursing-ritual-ceremony,a black and white japanese print of a woman  in the woods with a creature
Art_Nouveau_Modern,aubrey-beardsley_poster-advertising-the-spinster-s-scrip,A maid and a witch both dressed in black gaze at each other.
Pointillism,paul-signac_antibes-evening-1914,A square rigged ship entering a Mediterranean-looking port
Symbolism,konstantin-bogaevsky_star-the-wormwood-1908,A hillside town bordering a cliff that is spraying rays of brightness up in to the sky.
Art_Nouveau_Modern,edmund-dulac_his-grandmother-had-told-him-from-the-garden-of-paradise,A seated elderly woman speaks to a kneeling boy in front of a stained glass window
Realism,ilya-repin_raising-of-jairus-daughter-1870,A man stands next to a sick or sleepy person who is laying down.
Realism,konstantin-makovsky_children-playing-in-the-workshop,Two little girls playing on the floor of a living room wooden floor.
Post_Impressionism,pyotr-konchalovsky_hamlet-sheep-1931,A woman in front of a farmhouse looking over a herd of sheep.
Impressionism,maurice-prendergast_roma-flower-stall-also-known-as-flower-stall-or-roman-flower-stall,Several ladies shop at a plant stand on a cobblestone street.
Expressionism,jacoba-van-heemskerck_stadt-1915,A cityscape rendered in thick black lines.
Impressionism,eugene-boudin_bordeaux-the-port,Multiple ships are docked; suggesting this is a major port of sea in its time.
Realism,james-tissot_caricature-of-general-sir-frederick-paul-haines,A man dressed in a suit with his hands in his pockets wearing several medals.
Post_Impressionism,adam-baltatu_summer-landscape,A fuzzy scene of some trees bursting with color.
Realism,martiros-saryan_mount-ararat-from-the-village-mhchan-1949,A rocky formation with tall trees by a mountainside.
Realism,edvard-munch_old-aker-church-1881,A church is the epicenter of this town; the size and scope dwarfs the houses that line the streets
Abstract_Expressionism,sam-francis_sf59-040-1959,"I see yellow, red and blue splotches and lines with a yellow line runs down the center."
Impressionism,alfred-sisley_idle-barges-on-the-loing-canal-at-saint-mammes-1885,Boats are sailing down a river as part of some type of procession; perhaps a celebration of some type.
Expressionism,ramon-oviedo_ba-ando-a-quien-fuera-su,Abstract shapes rendered in shades of dark blue and muted hues.
Abstract_Expressionism,gene-davis_islam-1981,Two pictures of dots and lines arranged meaningfully.
Realism,charles-francois-daubigny_the-harbour-at-honfleur,I see a ship in a harbor that is surrounded by a small town.
Synthetic_Cubism,juan-gris_pedistal-table-in-front-of-the-window-1921,A man playing a guitar walking in front of a building.
Post_Impressionism,paul-cezanne_chateau-de-madan,A blurry landscape with fluffy tree tops and roofs of houses poking out in the distance.
Expressionism,amedeo-modigliani_portrait-of-a-young-woman-1919,A lady with huge long giraffe neck and a long alien face with sunken blue eyes.
Expressionism,kathe-kollwitz_not_detected_235992,Adults are cuddling a child and a baby while talking.
Impressionism,julian-alden-weir_the-veranda-1900,A view from the front porch of a house.
Impressionism,edgar-degas_the-little-milliners-1882,Two women examining a group of hats with heads bent to the side.
High_Renaissance,raphael_st-george-and-the-dragon,A knight protects a woman from a hound of hell whilst his horse tramples a broken jousting spear.
Expressionism,jan-sluyters_composition-earthly-and-heavenly-love,"A woman sits on a chair at a table with a vase and citrus fruits while another stands, posing half-nude."
Cubism,fernand-leger_contrasts-of-forms-1913,Blocks with red sides create a staircase towards a platform.
Impressionism,childe-hassam_adams-and-st-helen-s-early-morning,A white snow capped mountain peering thru the fog down on the snow covered valley.
Impressionism,eugene-boudin_bridge-on-the-river-touques-at-deauville,There is a barn with a worker at the door and it is on the other side of the bridge where there is a manufacturing plant with smoke coming out and water all around.
Expressionism,frantisek-kupka_prometheus-in-chains-1905-4,hieroglyphic style drawing with many nude males in historic form
Naive_Art_Primitivism,maria-primachenko_old-woman-sitting-on-the-oven-and-spinning-1969-1,Folk art that seems to tell a story of a woman and her cats.
Impressionism,paul-gauguin_near-rouen-1884,Cattle graze in the hills overlooking a town and its church.
Pop_Art,derek-boshier_fooootball,"Two rows of a silhouette, of a male soccer player running is repeated like a pattern, on a black background, and the player is surrounded by soccer balls as well as as red, yellow, and orange circles of different shapes and sizes."
Expressionism,marcel-duchamp_the-bec-auer-1967,A person is spreading their legs and arms up.
Romanticism,henry-raeburn_henry-mackenzie,A curly haired man dressed in black sits in a dark area.
Realism,konstantin-somov_portrait-of-m-karpova,A portrait of a woman in black evening attire leaning against red pillows.
Romanticism,john-constable_study-of-tree-trunks,An adult carries a baby next to a stream.
Baroque,anthony-van-dyck_portrait-of-clelia-cattaneo-daughter-of-marchesa-elena-grimaldi-1623,A child with shoulder lenght hair and a gown looks lost while cupping a gobblet.
Romanticism,george-stubbs_portrait-of-john-nelthorpe-as-a-child,"A little lord type, dressed in finery with his dog by his side."
Northern_Renaissance,albrecht-durer_drawing-from-the-tarot-the-muse-thalia,A woman with long hair and a flowign dress pulls a bow against a small stringed instroment.
Romanticism,edward-burne-jones_arthur-in-avalon,A king's death is mourned as his harpist plays a song.
Rococo,giovanni-battista-tiepolo_the-madonna-of-carmel-and-the-souls-of-the-purgatory,A group of people are looking over the woman with the child.
Post_Impressionism,georges-seurat_peasant-woman-seated-in-the-grass-1883,Woman sitting on the ground cradling her baby in her outer garment.
Pop_Art,andy-warhol_telephone,A large old style phone with a handle and a microphone
Northern_Renaissance,lucas-cranach-the-elder_the-dying-man-1518,A sick child lays in a bed with people around the bed.
Romanticism,karl-bryullov_svetlana-guessing-on-her-future,A woman wearing pearls around her neck and a crown on her head sitting and looking into a mirror with a lit candle at one side
Impressionism,pierre-auguste-renoir_nude-reclining-on-the-grass-1890,A naked lady with long hair is lying on her side in front of a body of water and trees
Romanticism,john-william-waterhouse_flower-sketch-for-the-enchanted-garden-1916,On a river bank there is some overgrowth of weeds and plants.
Art_Nouveau_Modern,nicholas-roerich_captive-1943,"Mid sunset, an Indian woman, with a large, pregnant belly, walks through an empty field, with the sunset behind her."
Expressionism,chaim-soutine_little-pastry-cook,"A man wearing white, perhaps chef's clothing, stands against a red backdrop while looking forward."
Abstract_Expressionism,jay-defeo_the-jewel-1959,Abstract style of painting using primarily shades of brown and red.
Post_Impressionism,maurice-prendergast_beach-promenade,This is a watercolor painting showing a many people socializing under the trees by a lake.
High_Renaissance,raphael_vision-of-ezekiel-1518,A mighty god shining in the heavens with his angels beside him and on top of his winged pegasus.
Impressionism,isaac-levitan_stable,A log cabin is standing in the sunlight with a barn nearby.
Expressionism,mario-eloy_o-arquitecto-jos-pacheco-1925,"In front of the entry way of a castle, stands a middle aged man, in a black tuxedo, hlding paperso containing the image of a flower on the front."
Expressionism,max-pechstein_kornpuppen-1922,Bales of grain are stacked neatly on a green area with buildings in the distance.
Impressionism,gustave-caillebotte_woman-seated-beneath-a-tree,A woman sits in the shade of a tree outside of a fence
Expressionism,henri-matisse_woman-in-blue-or-the-large-blue-robe-and-mimosas-1937,A woman in a blue gown is seated against a primary colored background.
Northern_Renaissance,pieter-bruegel-the-elder_envy,A weird drawing where someweird creatures are around some people on a weird city.
Minimalism,robert-ryman_wing,An abstract work that seems to have been created with sponges.
Mannerism_Late_Renaissance,lavinia-fontana_noli-me-tangere-1581,a farmer who is talking to a kneeling woman
Cubism,olga-rozanova_tomatoes,Flowers sit in a blue vase on top of a stand.
Expressionism,salvador-dali_a-seated-man-and-a-dancing-couple,A man sitting on a chair wearing a suit and hat.
Post_Impressionism,leroy-neiman_bistro-garden-1997,People are seated at tables with colorful flowers in the foreground.
Realism,anders-zorn_surveying-the-vista-1886,A man sitting on the edge of the cliffs.
Realism,william-adolphe-bouguereau_bacchante-1899,A woman is posing flirtaciously while wearing a white off the shoulder gown which exposes her breast.
Impressionism,max-liebermann_swimming-boys,People in various stages of undress frolicking on the beach.
Art_Nouveau_Modern,carl-larsson_the-bridge-1896(1),A group of people riding in carriage pulled by a brown horse over a bridge.
Art_Nouveau_Modern,nicholas-roerich_the-hut-of-dead-1905,A small cabin with no apparent steps or ladder stands on stilts next to the river.
Abstract_Expressionism,theodoros-stamos_adam-1961,Some black paint is dripping over the red paint.
Impressionism,childe-hassam_dexter-s-garden,I see flowers and maybe a bench with a man sitting.
Abstract_Expressionism,sam-gilliam_horse-1995,A dresser painted with several different colors with red and yellow being the dominant colors.
Rococo,giovanni-domenico-tiepolo_jesus-and-the-children,A saint is surrounded by people with a tree behind them.
Baroque,rembrandt_the-crucifixion-an-oval-plate-1640,Black and white rendition of three crucifixtions surrounded by mourners.
Realism,boris-kustodiev_portrait-of-y-e-kustodieva-1907,"A woman in a long, black dress, with a content but still face is sitting in a chair,, at a desk, with her back against the wall."
Impressionism,camille-pissarro_portrait-of-georges,"A young girl with long brown hair is wearing a thick, dark dress."
Romanticism,franz-richard-unterberger_amalfi-the-gulf-of-salerno-1,On the mountain side there is water and people gathered.
Expressionism,egon-schiele_the-art-dealer-guido-arnot-1918,A man is sitting in a chair with books obscuring the view of his feet.
Realism,ivan-shishkin_autumn-1892-1,Fall colors in the trees. The leaves are dull colored such as shades of brown and tan.
Realism,thomas-eakins_study-of-a-horse-s-leg-for-the-fairman-rogers-four-in-hand,"I see a black, dead tree climbing into the sky"
Impressionism,john-singer-sargent_arab-stable-1906,Horses are saddled up without riders while chickens forage underneath them.
Color_Field_Painting,gotthard-graubner_farbraum-1963,A full blue picture with some streaks of white.
Impressionism,claude-monet_snow-at-argenteuil-02,Outdoors with snow falling and coating the area.
Realism,vincent-van-gogh_orphan-man-in-sunday-clothes-with-eye-bandage-1882,Portrait of an elderly man with an eye patch and a top hat.
Pop_Art,peter-max_four-seasons-autumn,"Colorful wavy paint strokes of greens, orange and yellow. Additionally, three darker red straight figures."
Symbolism,nicholas-roerich_himalayas-53,Shadows cover a valley as a mountain peak rises in the background.
Cubism,auguste-herbin_mill-on-the-marn-creteil-1911,A group of buildings with some tall columns.
Mannerism_Late_Renaissance,el-greco_portrait-of-a-man-andrea-palladio-1575,A man in a dark suit holding a book in one hand and resting the other hand near his waist.
Romanticism,alfred-stevens_lovelorn,A woman in an ornate gown sitting in a chair next to a table with a lamp on it and an ornate column with a bust on it
Post_Impressionism,gustave-loiseau_petit-dalles-at-normandy-1908,The ocean laps at two people's feet while the cliffs loom in the distance
Expressionism,richard-gerstl_the-road-theme-from-nussdorf-1907,a dirt road winds through a wooded landscape.
Impressionism,constantin-artachino_dobrujan-landscape,Houses in a village located out in the desert.
Minimalism,agnes-martin_the-islands-1961(1),A square picture of a lot of dots making the patterns.
Baroque,william-hogarth_the-laughing-audience-or-a-pleased-audience,A group of people are sitting down together at an indoor event.
Impressionism,claude-monet_head-of-the-dog,The head of a yellow haired dog is painted.
Art_Nouveau_Modern,leon-bakst_model,"I see a beautiful naked woman, voluptuous with alabaster skin"
Romanticism,sir-lawrence-alma-tadema_caracalla-1902,Devotees sprinkle flowers along the path walked by a man in robes.
Symbolism,harry-clarke_tales-of-mystery-and-imagination-by-edgar-allan-poe-1923-4,A man with an ascot speaks to a man in a chair.
Romanticism,william-holman-hunt_the-schoolgirl-s-hymn-1859,A woman is wearing a brown hat and carrying a small book.
Baroque,annibale-carracci_assumption-of-the-virgin-mary-1601,"Men gaze upward as a woman rises above them, her arms uplifted."
Northern_Renaissance,jean-hey_the-moulins-triptych-detail-3,Congregants stand beside a halo in a posture of praying hands and with hands crossed across their chest.
Romanticism,george-stubbs_study-of-a-fowl-lateral-view-with-skin-and-underlying-fascial-layers-removed-from-a-comparative,A pencil and charcoal drawing of an ostrich-like creature with its arms stitched to its sides and long talons.
Fauvism,auguste-herbin_landscape-of-a-waterway-1908,A brownish pink trunk grows towards the sky.
Post_Impressionism,gustave-loiseau_the-rocks-of-saint-lunaire-1904,A grassy seashore that leads to teal frothy waters.
Rococo,thomas-gainsborough_portrait-of-grace-dalrymple-elliott,A woman poses for a portrait with a serene look on her face; perhaps the wife of an aristocrat.
Romanticism,jacek-malczewski_washing-of-feet-1887,A woman washes a man's feet for him.
Impressionism,federico-zandomeneghi_woman-with-bouquet,a pretty woman in a peach dress with some lovely flowers
Realism,thomas-eakins_portrait-of-charles-gruppe-1904,The man in the suit is looking away.
Realism,koloman-moser_rudolf-steindl-a-brother-of-the-artist,"A young man with thick, short hair looks down."
Art_Nouveau_Modern,raphael-kirchner_a-half-of-a-virgin-1901-3,Woman wearing a ball gown and holding a bouquet of flowers.
Realism,thomas-eakins_shad-fishing-at-gloucester-on-the-delaware-river-1881-1,A group of people most of them in yellow jackets standing at the waters edge and on a boat grabbing hold of a fishing net.
Northern_Renaissance,albrecht-durer_paul-the-apostle,A man with curly hair and a bushy beard and mustache and bulging eyes
Impressionism,pierre-auguste-renoir_nude-arranging-her-hair-1885,A young woman lifts her arms and holds her hair back; exposing her breasts.
Pop_Art,yayoi-kusama_ready-to-blossom-in-the-morning-1989,A pink flower that has opened up and a yellow flower that is still to bloom in front of a red background.
Post_Impressionism,pyotr-konchalovsky_sorrento-garden-1924,People are seated at the side of a road that is flank by shady trees and leads to a body of water.
Impressionism,julian-alden-weir_the-grey-trellis-1891,"A bird house on a listing pole behind a fence, next to a dogwood tree."
Pop_Art,arman_madison-avenue-1962,A group of colorful shoes are stacked against each other.
Impressionism,maurice-prendergast_lady-with-red-cape-and-muff,"A woman faces foreward, wearing a red shawl with her hands in a muff."
Baroque,sebastien-bourdon_le-camp-de-boh-miens,A group of people sitting and talking to each other.
Impressionism,konstantin-korovin_portrait-of-italian-singer-angelo-masini-1890,I see a drunk old man dressed in an old suit smoking a cigarette.
Expressionism,pablo-picasso_woman-in-a-shawl-1902,a pale woman in blue against a blue backdrop
Realism,edouard-manet_artist-s-atelier,An painters supplies are stored on a table; his brushes in a large mouth vase.
Early_Renaissance,pisanello_portrait-of-emperor-sigismund-of-luxembourg-1433,A man is wearing a big fur hat and thick shirt.
Minimalism,ruth-vollmer_rumblings-from-within-1965,"I see a sphere resting on the ground. The sphere has a traingular shape (but a curved traingle, because it is on a sphere) cut out, and a smaller sphere appears to be inside."
Realism,alexey-bogolyubov_alley-in-the-park-liechtenstein-1889,A motor car driving down a tree lined road as people are walking by it.
Impressionism,arkhip-kuindzhi_mountains,"Tall mountains are sitting in the background of a green field, with large, lush, green trees."
Mannerism_Late_Renaissance,tintoretto_annunciation-1581,"An angel and a dove are flying through a window, into a church, towards a man who is looking straight at them."
Cubism,henri-laurens_head-of-a-boxer-1920,A white chunk of stone is embedded in other chunks of stone.
Abstract_Expressionism,brice-marden_letter-with-red-2009,Red and black paint is on a white background.
Abstract_Expressionism,sam-francis_blue-balls-viii-1962,The picture is painted on a white background and this makes the blue color contrast with each other.The detailed black color is well put and looks stunning.
Post_Impressionism,raoul-dufy_portrait-of-madame-dufy-1917,"Portrait of a woman in a black dress, arms crossed in front of her."
Impressionism,alfred-sisley_the-seine-at-suresnes-1877,A lake is nestled in a rolling landscape beneath a cloudy sky.
Impressionism,edgar-degas_dancer-leaving-her-dressing-room,A ballerina dressed in green and black stands in a doorway.
Romanticism,john-atkinson-grimshaw_landscape-with-a-winding-river-1868,Stream running through the middle of a green valley
Post_Impressionism,maurice-utrillo_lapin-agile,A white house with large windows is behind trees delineated with a fence.
Realism,felix-vallotton_reclining-female-nude,A curvy woman laying on her side naked with her hand covering her vagina and resting on her thick thigh.
Rococo,pietro-longhi_the-spinner(1),Two women with low cut dresses and straw hats stand out against a dark background.
Realism,ilya-repin_in-repins-studio-drawing-evening-1882,A group of men are sitting down painting.
Realism,john-singer-sargent_mrs-ralph-curtis-1898,A woman in a white dress is standing in the picture.
Baroque,rembrandt_seated-old-man-1630,"An old man with whispy hair and a strong beard sits in a historic gown, cupping his hands inward."
Color_Field_Painting,barnett-newman_canto-xiii-1964,A long yellow rectangle next to the same size greenish rectangle vertically
Rococo,joshua-reynolds_george-iii,A man is dressed in blue elvet jacket and jacquard fabric in 17th century style.
Impressionism,camille-pissarro_grey-weather-morning-with-figures-eragny-1899,A farmer is standing by a pile of hay.
Early_Renaissance,domenico-ghirlandaio_giovanna-tornabuoni-and-her-accompaniment,four women in long dresses walking down a hallway
Realism,giovanni-boldini_portrait-of-gladys-deacon-1908,a woman in a white feathering dress sits on a bench
Romanticism,gustave-dore_the-creation-of-eve,A bright light shines behind a woman standing over a man sitting against a rock.
Impressionism,claude-monet_morning-on-the-seine-near-giverny-1,"Peaceful lake, with trees around the edges and bank."
Northern_Renaissance,albrecht-durer_man-s-head-in-profile,"Sketch of a man's head in profile, bald with a slight smile."
Abstract_Expressionism,larry-zox_abstract-with-blue-and-black,A jar that is filled with what is dark blue liquid.
Baroque,aleksey-antropov_archbishop-sylvester-kuliabka,A man wears an extremely large necklace and a tall black hat.
Expressionism,vilmos-aba-novak_baptism-of-christ-1931,God has his arms outstretched in the center of a group of angels.
Impressionism,peder-severin-kroyer_girl-on-the-beach-1884,A girl in dark clothes is standing on the sandy beach.
Post_Impressionism,pierre-bonnard_at-sea-1924,I see an eldery trio of people nicely dressed on a boat
Symbolism,nicholas-roerich_terem-of-yaroslavna,"A room with benches on the floor, round windows on the wall and beams on the ceiling"
Realism,vincent-van-gogh_head-of-a-woman-1883,A side view sketch of a woman.
Ukiyo_e,utagawa-kuniyoshi_samurai-and-the-conquered,Two people that are battling against one another with weapons.
Northern_Renaissance,hieronymus-bosch_christ-child-with-a-walking-frame,Naked young child playing with a wooden toy on wheels.
Expressionism,salvador-dali_portrait-of-my-cousin-ana-maria-domenech,A young girl with black beady eyes is wearing a light blue dress and has a blue bow in her blonde hair.
Art_Nouveau_Modern,carl-larsson_interior-with-a-cactus-1914(1),A woman in a blue dress sits in a room while weaving.
Romanticism,vasily-tropinin_portrait-of-yu-f-samarin-in-the-hunting-dress-1846,A young man is sitting down and wearing a military uniform.
Post_Impressionism,ferdynand-ruszczyc_sloneczny-pejzaz,I see a mountain rising over a viridian field of wheat
Impressionism,pierre-auguste-renoir_conversation-1879,A woman is standing in front of and pointing at a man with eyeglasses on
Abstract_Expressionism,willem-de-kooning_untitled-xii,Swirls of red and white and blue looking soft and feminine.
Early_Renaissance,sandro-botticelli_portrait-of-a-young-man-1483-1(1),Portrait of a young man with long hair and a red cap.
Abstract_Expressionism,horia-bernea_prapor-1982,A rudimentary drawing of squares and diamonds with shadings.
Impressionism,arkhip-kuindzhi_elbrus-in-the-daytime,A snow capped peak of a mountain emerging from the brown valley.
Ukiyo_e,utagawa-kuniyoshi_women-21,An Asian woman holds a small blue plate in her hand.
Realism,georgios-jakobides_portrait-of-young-girl-1902,A young girl in a beautiful white frilly dress posing with her hat behind her on a table.
Post_Impressionism,nikola-tanev_barja,A water scene with a ship at the shore and a cityscape in the background.
Ukiyo_e,kitagawa-utamaro_geisha,a female geisha is looking to the left in a posterize style
Realism,vasily-vereshchagin_kurile-islands,A blue body of water with mountains in the background.
Realism,volodymyr-orlovsky_at-the-dam,Two ladies cross a small bridge ahead of a horse and cart.
Post_Impressionism,henri-de-toulouse-lautrec_a-laborer-at-celeyran-1882,Man is sitting under the tree in the green field
Impressionism,berthe-morisot_in-the-bois-de-boulogne,Two ladies elegantly dressed sitting by the river bank and picking flowers.
Northern_Renaissance,lucas-cranach-the-elder_portrait-of-geiler-von-kaiserberg,A man in black is looking over in the other way.
Impressionism,john-singer-sargent_tyrolese-crucifix,This painting depicts an interpretation of the cruxifiction of Christ; the cross looks to be nailed to a tree and Christ has a roof life structure over his head.
Early_Renaissance,fra-angelico_madonna-of-humility-1,A women in a pink dress with a blue cape around her holds a naked child.
Art_Nouveau_Modern,alexandre-benois_italian-comedy(1),A building with three floors of windows having people look out to a crowd of people on the street below.
Pointillism,camille-pissarro_portrait-of-nini-1884,Portrait of a woman wearing a black dress and a white tie.
Early_Renaissance,domenico-ghirlandaio_the-nativity-1,A woman prays over a baby with a man seated nearby underneath a group of angels.
Art_Nouveau_Modern,aubrey-beardsley_list-of-pictures,A woman in a long dress is hiding behind some branches.
Rococo,maurice-quentin-de-la-tour_mademoiselle-ferrand-meditating-on-newton,A woman in a white dress posing in front of a large book.
Post_Impressionism,vincent-van-gogh_the-mill-of-blute-end-1886,Windmill that need to be repaired in a bombed out area.
Cubism,juan-gris_figs,"A dish of brown lumps is central surrounded by a sknife, a cup, and a largely obscured word, all sitting on a table."
Post_Impressionism,anita-malfatti_uma-estudante-1916,A tired woman wearing a lemon yellow blouse is sitting on the chair.
Impressionism,boris-kustodiev_forest-near-the-village-maureeno,A sky with several streaks of color above a heavily treed area
Expressionism,m.c.-escher_seated-female-nude-1,"A fit, nude woman sits in the posture of a triangle, holding her face in her hand."
Romanticism,ivan-aivazovsky_sea-1882,"An older, large ship, with tall, white sails, is traveling through choppy waters, under a dark shy just ahead of steam ship."
Romanticism,william-shayer_landscape-with-figures-on-a-path,"A man follows a well trodden path, from which one can look over the river and see the town."
Impressionism,edgar-degas_dancer-putting-on-her-slipper-1896,Woman in a yellow dress sitting down and looking at the bottom of her right foot
Romanticism,jan-matejko_catherine-potocka,A woman sitting on a chair in a black dress with an open book on her lap.
Post_Impressionism,nicolae-tonitza_the-man-of-a-new-world-portrait-of-a-writer-and-polititian-gala-galaction-1920,A man with a big mustache wears all black and is making a less than pleased face.
Impressionism,william-merritt-chase_boat-house-prospect-park-aka-boats-on-the-lake-prospect-park,"About ten small boats are in a harbor near big, leafy trees."
Impressionism,camille-pissarro_ploughland-1874,an open field of dirt with an abandoned plow in the middle with a farmer walking a horse and cart in the background
Impressionism,pierre-auguste-renoir_yvonne-grimpel-1880,"A girl with golden long locks of hair, staring pursed lips into the camera."
Realism,vladimir-makovsky_lover-of-painting-portrait-of-a-collector-i-e-tsvetkov-1907,An old man in checked suit sitting on hiis chair reading a letter.
Pop_Art,rene-bertholo_azulejo,A simple drawing of a bird on a blue background; the paper appears to have been folded into small squares at some point.
Post_Impressionism,vincent-van-gogh_cows-1890(1),Five cows are standing in a grassy field and there is a bird flying above them.
Impressionism,willard-metcalf_nut-gathering,Two people sit underneath a solitary tree which stands alone on a grassy hill.
Post_Impressionism,istvan-nagy_bakony-landscape-1928,brown scene with trees and hills
High_Renaissance,giorgione_globe-moon-sun-astronomy-1510,A drawing of the moon earth and the sun.
Romanticism,gustave-dore_don-quixote-77,A man tries to prevent two women from going any further while a man looks on in confusion.
Expressionism,salvador-dali_autumn-sonata,Nude men on horses are fighting against a stark background of buildings and sky in sepia.
Realism,vincent-van-gogh_seated-girl-seen-from-the-front,I see a charcoal etching of a young child sitting in a chair and not wearing clothes.
Rococo,antoine-pesne_portrait-of-louise-albertine-von-grappendorf-as-flora,"Victorian era woman, posing in a dress. A small child is to her right. She is holding a flower in her right hand, and dropping flowers in her left."
Realism,theodore-rousseau_side-of-the-valley-of-saint-vincent-auvergne-1830,"I SEE RUGGED MOUNTAINS, SKY, AND DENSE VEGETATION."
Impressionism,camille-pissarro_a-meadow-in-moret-1901,"A village and a plowed field are shown as the background to tall, bare trees."
Impressionism,claude-monet_the-bend-of-the-seine-at-lavacourt-winter,Tall barrent trees tower over sad grey houses in a barren landscape.
Ukiyo_e,kitagawa-utamaro_women-making-dresses,A woman holds a veil in her hands while a child in her lap reaches for a hand fan.
Realism,camille-corot_ponte-nomentano-1828,"Autumn landscape, the ancient bridge connects banks of the river"
Color_Field_Painting,anne-truitt_truitt-67-1967,"Uneven verticle bands of color seperate an image into cream, pink, olive, and cream."
Expressionism,amedeo-modigliani_pierrot-self-portrait-as-pierrot-1915,A woman with a mottled green face looks leftward with letters underneath her.
Expressionism,m.c.-escher_roosje-ingen-housz,A woman's profile is drawn in black and white.
Color_Field_Painting,mark-rothko_no-37-no-19-slate-blue-and-brown-on-plum-1958,"A window shows the sky in the top panel and ground in the bottom panel, against a red background."
